OG	taxa_count	taxa
OG1	5	A2;HRSVAEngland3972017;hMPVCAN9783;hRSVAUSA2021957522021;hRSVBAustraliaVICRCH0562019
OG2	5	A2;HRSVAEngland3972017;hMPVCAN9783;hRSVAUSA2021957522021;hRSVBAustraliaVICRCH0562019
OG3	5	A2;HRSVAEngland3972017;hMPVCAN9783;hRSVAUSA2021957522021;hRSVBAustraliaVICRCH0562019
OG4	4	A2;HRSVAEngland3972017;hRSVAUSA2021957522021;hRSVBAustraliaVICRCH0562019
OG5	5	A2;HRSVAEngland3972017;hMPVCAN9783;hRSVAUSA2021957522021;hRSVBAustraliaVICRCH0562019
OG6	4	A2;HRSVAEngland3972017;hRSVAUSA2021957522021;hRSVBAustraliaVICRCH0562019
OG7	5	A2;HRSVAEngland3972017;hMPVCAN9783;hRSVAUSA2021957522021;hRSVBAustraliaVICRCH0562019
OG8	4	A2;HRSVAEngland3972017;hRSVAUSA2021957522021;hRSVBAustraliaVICRCH0562019
OG9	4	A2;HRSVAEngland3972017;hRSVAUSA2021957522021;hRSVBAustraliaVICRCH0562019
OG10	4	A2;HRSVAEngland3972017;hRSVAUSA2021957522021;hRSVBAustraliaVICRCH0562019
OG11	4	A2;HRSVAEngland3972017;hRSVAUSA2021957522021;hRSVBAustraliaVICRCH0562019
