Parent,Node,Branch.length,Label,Confidence,Sample_id,Host,Host_group,Host_type,Collection_state,Year
integer,integer,numeric,character,numeric,character,character,character,character,character,date
59,59,0.0,Internal-64,NA,NA,NA,NA,NA,NA,NA
59,35,0.0133370634,3101259_749278,NA,3101259_749278,Black bear,Other mammal,Mammalian,North Carolina,2024
59,111,2.6808e-06,Internal-2,NA,NA,NA,NA,NA,NA,NA
111,39,2.9015e-06,Internal-3,NA,NA,NA,NA,NA,NA,NA
39,102,1e-06,Internal-4,NA,NA,NA,NA,NA,NA,NA
102,113,1e-06,Internal-5,NA,NA,NA,NA,NA,NA,NA
113,57,1e-06,Internal-6,NA,NA,NA,NA,NA,NA,NA
57,109,0.0002068876,Internal-7,NA,NA,NA,NA,NA,NA,NA
109,30,0.0006215665,Internal-8,NA,NA,NA,NA,NA,NA,NA
30,7,0.0008290536,Internal-9,NA,NA,NA,NA,NA,NA,NA
7,76,0.0010258843,Internal-10,NA,NA,NA,NA,NA,NA,NA
76,98,0.0014404886,Internal-11,NA,NA,NA,NA,NA,NA,NA
98,19,0.0032979585,Internal-12,NA,NA,NA,NA,NA,NA,NA
19,47,0.0029564146,Internal-13,NA,NA,NA,NA,NA,NA,NA
47,117,0.0014582336,Internal-14,NA,NA,NA,NA,NA,NA,NA
117,26,0.0017630887,Internal-15,NA,NA,NA,NA,NA,NA,NA
26,72,0.0074034399,Internal-16,NA,NA,NA,NA,NA,NA,NA
72,22,0.0007137252,Internal-17,NA,NA,NA,NA,NA,NA,NA
22,55,0.0005084273,Internal-18,NA,NA,NA,NA,NA,NA,NA
55,65,0.0006143391,Internal-19,NA,NA,NA,NA,NA,NA,NA
65,21,0.0004089498,Internal-20,NA,NA,NA,NA,NA,NA,NA
21,90,0.0028388604,Internal-21,NA,NA,NA,NA,NA,NA,NA
90,64,2.7341e-06,Internal-22,NA,NA,NA,NA,NA,NA,NA
64,41,2.8434e-06,762140-OP,NA,762140-OP,Horned grebe,Other bird,Avian,Virginia,2024
64,61,0.0012849308,762143-OP,NA,762143-OP,Horned grebe,Other bird,Avian,Virginia,2024
90,103,0.0004334549,Internal-23,NA,NA,NA,NA,NA,NA,NA
103,31,0.0013074855,762141-OP,NA,762141-OP,Horned grebe,Other bird,Avian,Virginia,2024
103,115,0.0026043608,762142-OP,NA,762142-OP,Horned grebe,Other bird,Avian,Virginia,2024
21,88,2.386e-06,Internal-24,NA,NA,NA,NA,NA,NA,NA
88,116,0.001230366,3101261_749191_E1,NA,3101261_749191_E1,Ross's goose,Goose,Avian,Kansas,2023
88,87,0.0035430901,3101240_750551,NA,3101240_750551,Red-tailed hawk,Raptor,Avian,South Carolina,2024
65,127,0.0026941587,3101266_749259,NA,3101266_749259,Wood duck,Duck,Avian,South Carolina,2023
55,13,2.2078e-06,Internal-25,NA,NA,NA,NA,NA,NA,NA
13,67,2.9824e-06,Internal-26,NA,NA,NA,NA,NA,NA,NA
67,106,2.4211e-06,Internal-27,NA,NA,NA,NA,NA,NA,NA
106,51,2.7072e-06,Internal-28,NA,NA,NA,NA,NA,NA,NA
51,86,0.0106195866,3101257_749274,NA,3101257_749274,Bald eagle,Raptor,Avian,South Carolina,2023
51,96,0.0003744535,Internal-29,NA,NA,NA,NA,NA,NA,NA
