OG	Gene	Protein	Taxa
OG1	L	RNA dependent RNA polymerase	hMPVCAN9783
OG1	L	RNA-dependent RNA polymerase	hRSVAUSA2021957522021;HRSVAEngland3972017
OG1	L	RNA-directed RNA polymerase	hRSVBAustraliaVICRCH0562019
OG1	L	polymerase protein	A2
OG2	F	fusion glycoprotein	hRSVAUSA2021957522021;hRSVBAustraliaVICRCH0562019;A2
OG2	F	fusion glycoprotein precursor	hMPVCAN9783
OG2	F	fusion protein	HRSVAEngland3972017
OG3	N	nucleocapsid protein	hRSVBAustraliaVICRCH0562019
OG3	N	nucleoprotein	hMPVCAN9783;hRSVAUSA2021957522021;HRSVAEngland3972017;A2
OG4	G	attachment glycoprotein	hRSVAUSA2021957522021;hRSVBAustraliaVICRCH0562019;HRSVAEngland3972017;A2
OG5	M	matrix protein	hMPVCAN9783;hRSVAUSA2021957522021;hRSVBAustraliaVICRCH0562019;HRSVAEngland3972017;A2
OG6	P	phosphoprotein	hRSVAUSA2021957522021;hRSVBAustraliaVICRCH0562019;HRSVAEngland3972017;A2
OG7	M2	M2-1 protein	A2
OG7	M2	matrix protein M2-1	hMPVCAN9783
OG7	M2-1	M2-1 protein	hRSVAUSA2021957522021;HRSVAEngland3972017
OG7	M2-1	transcription elongation factor M2-1	hRSVBAustraliaVICRCH0562019
OG8	NS1	nonstructural protein 1	hRSVAUSA2021957522021;hRSVBAustraliaVICRCH0562019;HRSVAEngland3972017;A2
OG9	NS2	nonstructural protein 2	hRSVAUSA2021957522021;hRSVBAustraliaVICRCH0562019;HRSVAEngland3972017;A2
OG10	M2	M2-2 protein	A2
OG10	M2-2	M2-2 protein	hRSVAUSA2021957522021;HRSVAEngland3972017
OG10	M2-2	transcription elongation factor M2-2	hRSVBAustraliaVICRCH0562019
OG11	SH	small hydrophobic protein	hRSVAUSA2021957522021;hRSVBAustraliaVICRCH0562019;HRSVAEngland3972017;A2
