OG	Gene	Protein	Protein_ID	Location	Accession	Taxon	Code	Locus_tag	Db_xref
OG1	L	RNA dependent RNA polymerase	AAQ67700.1	7133..13150	AY297749.1	hMPVCAN9783	s0003	NA	NA
OG1	L	RNA-dependent RNA polymerase	WAK85785.1	8479..14976	OP965711.1	hRSVAUSA2021957522021	s0001	NA	NA
OG1	L	RNA-dependent RNA polymerase	WTM05213.1	8532..15029	PP109421.1	HRSVAEngland3972017	s0002	NA	NA
OG1	L	RNA-directed RNA polymerase	WBQ20029.1	8518..15018	OP975389.1	hRSVBAustraliaVICRCH0562019	s0000	NA	NA
OG1	L	polymerase protein	YP_009518860.1	8498..14995	NC_038235.1	A2	s0004	DZD21_gp10	GeneID:37607645
OG2	F	fusion glycoprotein	WAK85782.1	5647..7371	OP965711.1	hRSVAUSA2021957522021	s0001	NA	NA
OG2	F	fusion glycoprotein	WBQ20026.1	5676..7400	OP975389.1	hRSVBAustraliaVICRCH0562019	s0000	NA	NA
OG2	F	fusion glycoprotein	YP_009518857.1	5661..7385	NC_038235.1	A2	s0004	DZD21_gp08	GeneID:37607643
OG2	F	fusion glycoprotein precursor	AAQ67695.1	3067..4686	AY297749.1	hMPVCAN9783	s0003	NA	NA
OG2	F	fusion protein	WTM05212.1	5697..7421	PP109421.1	HRSVAEngland3972017	s0002	NA	NA
OG3	N	nucleocapsid protein	WBQ20021.1	1097..2272	OP975389.1	hRSVBAustraliaVICRCH0562019	s0000	NA	NA
OG3	N	nucleoprotein	AAQ67692.1	55..1239	AY297749.1	hMPVCAN9783	s0003	NA	NA
OG3	N	nucleoprotein	WAK85777.1	1062..2237	OP965711.1	hRSVAUSA2021957522021	s0001	NA	NA
OG3	N	nucleoprotein	WTM05207.1	1111..2286	PP109421.1	HRSVAEngland3972017	s0002	NA	NA
OG3	N	nucleoprotein	YP_009518852.1	1140..2315	NC_038235.1	A2	s0004	DZD21_gp03	GeneID:37607638
OG4	G	attachment glycoprotein	WAK85781.1	4602..5567	OP965711.1	hRSVAUSA2021957522021	s0001	NA	NA
OG4	G	attachment glycoprotein	WBQ20025.1	4646..5578	OP975389.1	hRSVBAustraliaVICRCH0562019	s0000	NA	NA
OG4	G	attachment glycoprotein	WTM05211.1	4652..5617	PP109421.1	HRSVAEngland3972017	s0002	NA	NA
OG4	G	attachment glycoprotein	YP_009518856.1	4688..5584	NC_038235.1	A2	s0004	DZD21_gp07	GeneID:37607642
OG5	M	matrix protein	AAQ67694.1	2180..2944	AY297749.1	hMPVCAN9783	s0003	NA	NA
OG5	M	matrix protein	WAK85779.1	3177..3947	OP965711.1	hRSVAUSA2021957522021	s0001	NA	NA
OG5	M	matrix protein	WBQ20023.1	3154..3990	OP975389.1	hRSVBAustraliaVICRCH0562019	s0000	NA	NA
OG5	M	matrix protein	WTM05209.1	3226..3996	PP109421.1	HRSVAEngland3972017	s0002	NA	NA
OG5	M	matrix protein	YP_009518854.1	3261..4031	NC_038235.1	A2	s0004	DZD21_gp05	GeneID:37607640
OG6	P	phosphoprotein	WAK85778.1	2269..2994	OP965711.1	hRSVAUSA2021957522021	s0001	NA	NA
OG6	P	phosphoprotein	WBQ20022.1	2305..3030	OP975389.1	hRSVBAustraliaVICRCH0562019	s0000	NA	NA
OG6	P	phosphoprotein	WTM05208.1	2318..3043	PP109421.1	HRSVAEngland3972017	s0002	NA	NA
OG6	P	phosphoprotein	YP_009518853.1	2346..3071	NC_038235.1	A2	s0004	DZD21_gp04	GeneID:37607639
OG7	M2	M2-1 protein	YP_009518858.1	7606..8190	NC_038235.1	A2	s0004	DZD21_gp09	GeneID:37607644
OG7	M2	matrix protein M2-1	AAQ67696.1	4724..5287	AY297749.1	hMPVCAN9783	s0003	NA	NA
OG7	M2-1	M2-1 protein	WAK85783.1	7587..8171	OP965711.1	hRSVAUSA2021957522021	s0001	NA	NA
OG7	M2-1	M2-1 protein	WTM05215.1	7640..8224	PP109421.1	HRSVAEngland3972017	s0002	NA	NA
OG7	M2-1	transcription elongation factor M2-1	WBQ20027.1	7627..8214	OP975389.1	hRSVBAustraliaVICRCH0562019	s0000	NA	NA
OG8	NS1	nonstructural protein 1	WAK85775.1	21..440	OP965711.1	hRSVAUSA2021957522021	s0001	NA	NA
OG8	NS1	nonstructural protein 1	WBQ20019.1	57..476	OP975389.1	hRSVBAustraliaVICRCH0562019	s0000	NA	NA
OG8	NS1	nonstructural protein 1	WTM05205.1	70..489	PP109421.1	HRSVAEngland3972017	s0002	NA	NA
OG8	NS1	nonstructural protein 1	YP_009518850.1	99..518	NC_038235.1	A2	s0004	DZD21_gp01	GeneID:37607636
OG9	NS2	nonstructural protein 2	WAK85776.1	550..924	OP965711.1	hRSVAUSA2021957522021	s0001	NA	NA
OG9	NS2	nonstructural protein 2	WBQ20020.1	584..958	OP975389.1	hRSVBAustraliaVICRCH0562019	s0000	NA	NA
OG9	NS2	nonstructural protein 2	WTM05206.1	599..973	PP109421.1	HRSVAEngland3972017	s0002	NA	NA
OG9	NS2	nonstructural protein 2	YP_009518851.1	628..1002	NC_038235.1	A2	s0004	DZD21_gp02	GeneID:37607637
OG10	M2	M2-2 protein	YP_009518859.1	8159..8431	NC_038235.1	A2	s0004	DZD21_gp09	GeneID:37607644
OG10	M2-2	M2-2 protein	WAK85784.1	8146..8412	OP965711.1	hRSVAUSA2021957522021	s0001	NA	NA
OG10	M2-2	M2-2 protein	WTM05214.1	8199..8465	PP109421.1	HRSVAEngland3972017	s0002	NA	NA
OG10	M2-2	transcription elongation factor M2-2	WBQ20028.1	8180..8452	OP975389.1	hRSVBAustraliaVICRCH0562019	s0000	NA	NA
OG11	SH	small hydrophobic protein	WAK85780.1	4217..4411	OP965711.1	hRSVAUSA2021957522021	s0001	NA	NA
OG11	SH	small hydrophobic protein	WBQ20024.1	4259..4456	OP975389.1	hRSVBAustraliaVICRCH0562019	s0000	NA	NA
OG11	SH	small hydrophobic protein	WTM05210.1	4266..4460	PP109421.1	HRSVAEngland3972017	s0002	NA	NA
OG11	SH	small hydrophobic protein	YP_009518855.1	4303..4497	NC_038235.1	A2	s0004	DZD21_gp06	GeneID:37607641
