Species	Total_CDS	Missing_protein_id	No_OG_match	OG_matched
HRSVAEngland3972017	11	0	0	11
hRSVAUSA2021957522021	11	0	0	11
hMPVCAN9783	9	0	4	5
A2	11	0	0	11
hRSVBAustraliaVICRCH0562019	11	0	0	11
