identifier,label,source,Genotype
character,character,character,character
GCA_038284295.1,ASM3828429v1,Reference,GT1
AB827988-95,Influenza_A_virus_LBM330,Reference,GT2
GCA_038855755.1,ASM3885575v1,Reference,GT2
GCA_037917055.1,ASM3791705v1,Reference,GT1
GCA_037940155.1,ASM3794015v1,Reference,GT1
GCF_000865725.1,puerto_rico,Reference,GT1
ERX15415941,NextSeq_6_ERR16025163,Readset,GT1
SRX31202479,Illumina_iSeq_21,Readset,GT1
SRX29844360,NextSeq_22_SRR34709337,Readset,GT2
SRX29091855,MinION_29_SRR33880304,Readset,GT1
SRX29001697,MinION_18_SRR33779449,Readset,GT1
