Parent,Node,Branch.length,Label,Confidence,Sample_id,Source,Subgroup,Lineage,Tree_group,Location,Collection_date,Decade,Bases,Avg_spot_len,Selection_note
integer,integer,numeric,character,numeric,character,character,character,character,character,character,character,character,numeric,numeric,character
13,13,0.0,Internal-8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,1,0.01359,A2,NA,M74568.1,Reference,RSV-A,A.1_historical,historical_RSV_A,USA,1961,1960,NA,NA,Historical_RSV_A_anchor
13,14,0.01448,Internal-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,9,0.00052,Internal-3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,10,0.00042,Internal-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,11,0.00478,HRSV_A_England_397_2017,NA,PP109421.1,Reference,RSV-A,A.D.2.2.1,post_ON1_RSV_A,UK,2017,2010,NA,NA,Goya_2024_RSV_A_coordinate_reference
10,2,0.00625,hRSV_SRR24833895,NA,SRR24833895,Readset,RSV-A_inferred,NA,A_subcluster_extra_diversity,United_Kingdom,2022-11-30,2020,8423854,330,Moderate_small_readset_distinct_from_selected_A_reads
9,8,0.00292,hRSV_SRR24833879,NA,SRR24833879,Readset,RSV-A_inferred,NA,contemporary_A_cluster,United_Kingdom,2022-12-13,2020,5260160,335,Small_A_readset_near_contemporary_cluster
14,0,0.00242,Internal-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,3,0.00111,hRSV_A_USA_202195752_2021,NA,OP965711.1,Reference,RSV-A,A.D.5,contemporary_RSV_A,USA,2021,2020,NA,NA,Contemporary_RSV_A_D5_reference
0,4,0.00214,hRSV_SRR24833888,NA,SRR24833888,Readset,RSV-A_inferred,NA,A_D5_nearby_cluster,United_Kingdom,2023-01-22,2020,5783068,323,Small_A_readset_on_separate_terminal_cluster
13,15,0.04489,Internal-6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,12,2.64818,hMPV_CAN97_83,NA,AY297749.1,Reference,hMPV,outgroup,hMPV_outgroup,Canada,1997,1990,NA,NA,Outgroup_for_rooting
15,5,0.08288,Internal-7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,7,0.02721,hRSV_B_Australia_VIC_RCH056_2019,NA,OP975389.1,Reference,RSV-B,B.D.4.1.1,contemporary_RSV_B,Australia,2019,2010,NA,NA,Goya_2024_RSV_B_coordinate_reference
5,6,0.00265,hRSV_SRR24833886,NA,SRR24833886,Readset,RSV-B_inferred,NA,B_like_from_full_run,United_Kingdom,2023-01-26,2020,3327511,330,Smallest_mappable_readset_outlier_branch
